"id";"genero_top30";"posicion_top30";"titulo";"titulo_VO";"duracion";"pais";"puntuacion_media";"votos";"num_criticas";"mejor_puntuacion";"peor_puntuacion";"direccion";"guion";"musica";"fotografia";"reparto";"productora";"sinopsis";"url";"tag_1";"tag_2";"tag_3";"tag_4";"tag_5";"tag_6";"tag_7";"tag_8";"tag_9";"tag_10";"tag_11";"tag_12";"tag_13"
"100958";"Western";3;"Hasta que llegó su hora";"C'era una volta il west (Once Upon a Time in the West)";"165";"Italia";8,2;24,248;195;10;1;"Sergio Leone";"Sergio Leone, Sergio Donati, Dario Argento, Bernardo Bertolucci";"Ennio Morricone";"Tonino Delli Colli";"Henry Fonda, Charles Bronson, Claudia Cardinale, Gabriele Ferzetti, Frank Wolff, Al Mulock, Jason Robards, Woody Strode, Jack Elam, Lionel Stander, Paolo Stoppa, Keenan Wynn, Aldo Sambrell, Robert Hossein";"Paramount Pictures";"Brett McBain, un granjero viudo de origen irlandés, vive con sus hijos en una zona pobre y desértica del Oeste americano. Ha preparado una fiesta de bienvenida para Jill, su futura esposa, que viene desde Nueva Orleáns. Pero cuando Jill llega se encuentra con que una banda de pistoleros los ha asesinado a todos. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film100958.html";"Western";"Spaghetti Western";"Venganza";"Película de culto";"";"";"";"";"";"";"";"";""
"104497";"Fantástico";27;"Jennie";"Portrait of Jennie";"86";"Estados Unidos";7,7;4,171;46;10;1;"William Dieterle";"Paul Osborn, Peter Berneis (Novela: Robert Nathan)";"Dimitri Tiomkin";"Joseph H. August (B&W)";"Jennifer Jones, Joseph Cotten, Ethel Barrymore, Lillian Gish, Cecil Kellaway, David Wayne, Albert Sharpe, Henry Hull, Florence Bates, Felix Bressart, Clem Bevans, Maude Simmons, Nancy Olson";"Selznick International Pictures. Productor: David O. Selznick";"Un pintor arruinado y abatido por haber perdido la inspiración conoce, un frío día de invierno, a una chiquilla en Central Park vestida de un modo anticuado. A partir de ese momento se suceden otros encuentros, con la particularidad de que en breves intervalos de tiempo la chica se va convirtiendo en una bellísima joven, de la cual el pintor se enamora. Pero Jennie esconde un secreto… (FILMAFFINITY)";"https://www.filmaffinity.com/es/film104497.html";"Drama";"Romance";"Fantástico";"Drama romántico";"Pintura";"";"";"";"";"";"";"";""
"106223";"Belico";2;"La condición humana III: La plegaria del soldado";"Ningen no joken III (The Human Condition III: A Soldier's Prayer)";"190";"Japón";8,3;2,156;25;10;1;"Masaki Kobayashi";"Masaki Kobayashi, Zenzo Matsuyama, Koichi Inagaki (Novela: Jumpei Gomikawa)";"Chuji Kinoshita";"Yoshio Miyajima (B&W)";"Tatsuya Nakadai, Michiyo Aratama, Yusuke Kawazu, Tamao Nakamura, Chishu Ryu, Taketoshi Naitô, Reiko Hitomi, Kyôko Kishida, Nobuo Kaneko, Fujio Suga, Keijiro Morozumi";"Ninjin Club, Shôchiku";"Tras ser derrotados por los rusos, Kaji y los pocos hombres de su unidad que han sobrevivido emprenden una larga marcha en un intento desesperado de llegar a territorio amigo. Tras sortear no pocas dificultades, Kaji se ve obligado a rendirse y es enviado a un campo de prisioneros en Siberia. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film106223.html";"Bélico";"Drama";"Ejército";"Drama psicológico";"II Guerra Mundial";"Años 40";"Secuela";"";"";"";"";"";""
"106223";"Drama";27;"La condición humana III: La plegaria del soldado";"Ningen no joken III (The Human Condition III: A Soldier's Prayer)";"190";"Japón";8,3;2,156;25;10;1;"Masaki Kobayashi";"Masaki Kobayashi, Zenzo Matsuyama, Koichi Inagaki (Novela: Jumpei Gomikawa)";"Chuji Kinoshita";"Yoshio Miyajima (B&W)";"Tatsuya Nakadai, Michiyo Aratama, Yusuke Kawazu, Tamao Nakamura, Chishu Ryu, Taketoshi Naitô, Reiko Hitomi, Kyôko Kishida, Nobuo Kaneko, Fujio Suga, Keijiro Morozumi";"Ninjin Club, Shôchiku";"Tras ser derrotados por los rusos, Kaji y los pocos hombres de su unidad que han sobrevivido emprenden una larga marcha en un intento desesperado de llegar a territorio amigo. Tras sortear no pocas dificultades, Kaji se ve obligado a rendirse y es enviado a un campo de prisioneros en Siberia. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film106223.html";"Bélico";"Drama";"Ejército";"Drama psicológico";"II Guerra Mundial";"Años 40";"Secuela";"";"";"";"";"";""
"109470";"Musical";23;"Billy Elliot. The Musical Live";"Billy Elliot. The Musical Live";"169";"Reino Unido";7,5;181;2;10;1;"Stephen Daldry";"Lee Hall";"Elton John";NA;"Elliott Hanna, Ruthie Henshall, Deka Walmsley, Chris Grahamson, Liam Mower, Howard Crossley, David Muscat, Claudia Bradley, Zach Atkinson, Demi Lee";"Working Title Films, Tiger Aspect Productions";"Un joven bailarín con talento tiene que aprender a luchar por su sueño a pesar de la desaprobación social y la incomprensión inicial de su familia. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film109470.html";"Musical";"Comedia";"Drama";"";"";"";"";"";"";"";"";"";""
"124591";"Cine negro";27;"Scarface, el terror del Hampa";"Scarface";"93";"Estados Unidos";7,9;12,699;63;10;1;"Howard Hawks";"Ben Hecht (Novela: Armitage Trail)";"Adolph Tandler, Gus Arnheim";"Lee Garmes, L. William O'Connell (B&W)";"Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins, C. Henry Gordon, George Raft, Vince Barnett, Boris Karloff, Purnell Pratt, Tully Marshall, Inez Palange, Edwin Maxwell, Dennis O'Keefe";"Universal Pictures";"Tony Camonte (Paul Muni), un pistolero de origen italiano, ignorante y sin escrúpulos, es el lugarteniente de Johnny Lovo (Osgood Perkins), el hampón más poderoso del South End de Chicago. Ambicioso y cruel, Camonte, que por una cicatriz que le cruza el rostro recibe el apelativo de Cara cortada, elimina poco a poco a los rivales de su jefe hasta que, con la ayuda de su amigo Gino Rinaldo (George Raft), le arrebata el poder también a él y se convierte en el amo de la ciudad. Tras un mes de vacaciones en Florida, descubre que su hermana Cesca (Ann Dvorak), por la que siente un amor confuso y arrebatado, es la amante de Gino. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film124591.html";"Cine negro";"Thriller";"Policíaco";"Crimen";"Mafia";"";"";"";"";"";"";"";""
"127610";"Cine negro";6;"Sed de mal";"Touch of Evil";"108";"Estados Unidos";8,2;28,841;143;10;1;"Orson Welles";"Orson Welles (Novela: Whit Masterson)";"Henry Mancini";"Russell Metty (B&W)";"Charlton Heston, Janet Leigh, Orson Welles, Marlene Dietrich, Joseph Calleia, Akim Tamiroff, Dennis Weaver, Ray Collins, Mercedes McCambridge, Joseph Cotten, Zsa Zsa Gabor";"Universal Pictures";"Un agente de la policía de narcóticos (Heston) llega a la frontera mexicana con su esposa justo en el momento en que explota una bomba. Inmediatamente se hace cargo de la investigación contando con la colaboración de Quinlan (Welles), el jefe de la policía local, muy conocido en la zona por sus métodos expeditivos y poco ortodoxos. Una lucha feroz se desata entre los dos hombres, pues cada uno de ellos tiene pruebas contra el otro. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film127610.html";"Cine negro";"Intriga";"Crimen";"Policíaco";"Secuestros / Desapariciones";"";"";"";"";"";"";"";""
"127610";"Intriga";17;"Sed de mal";"Touch of Evil";"108";"Estados Unidos";8,2;28,841;143;10;1;"Orson Welles";"Orson Welles (Novela: Whit Masterson)";"Henry Mancini";"Russell Metty (B&W)";"Charlton Heston, Janet Leigh, Orson Welles, Marlene Dietrich, Joseph Calleia, Akim Tamiroff, Dennis Weaver, Ray Collins, Mercedes McCambridge, Joseph Cotten, Zsa Zsa Gabor";"Universal Pictures";"Un agente de la policía de narcóticos (Heston) llega a la frontera mexicana con su esposa justo en el momento en que explota una bomba. Inmediatamente se hace cargo de la investigación contando con la colaboración de Quinlan (Welles), el jefe de la policía local, muy conocido en la zona por sus métodos expeditivos y poco ortodoxos. Una lucha feroz se desata entre los dos hombres, pues cada uno de ellos tiene pruebas contra el otro. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film127610.html";"Cine negro";"Intriga";"Crimen";"Policíaco";"Secuestros / Desapariciones";"";"";"";"";"";"";"";""
"135623";"Animacion";17;"Del revés (Inside Out)";"Inside Out";"94";"Estados Unidos";7,8;76,367;383;10;1;"Pete Docter, Ronaldo Del Carmen";"Pete Docter, Meg LeFauve, Josh Cooley (Historia: Pete Docter, Ronaldo Del Carmen)";"Michael Giacchino";"Animación";"Animación";"Pixar Animation Studios, Walt Disney Pictures";"Riley es una chica que disfruta o padece toda clase de sentimientos. Aunque su vida ha estado marcada por la Alegría, también se ve afectada por otro tipo de emociones. Lo que Riley no entiende muy bien es por qué motivo tiene que existir la Tristeza en su vida. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film135623.html";"Animación";"Fantástico";"Aventuras";"Comedia";"Infancia";"Familia";"Cine familiar";"Pixar";"3-D";"";"";"";""
"135623";"Fantástico";22;"Del revés (Inside Out)";"Inside Out";"94";"Estados Unidos";7,8;76,367;383;10;1;"Pete Docter, Ronaldo Del Carmen";"Pete Docter, Meg LeFauve, Josh Cooley (Historia: Pete Docter, Ronaldo Del Carmen)";"Michael Giacchino";"Animación";"Animación";"Pixar Animation Studios, Walt Disney Pictures";"Riley es una chica que disfruta o padece toda clase de sentimientos. Aunque su vida ha estado marcada por la Alegría, también se ve afectada por otro tipo de emociones. Lo que Riley no entiende muy bien es por qué motivo tiene que existir la Tristeza en su vida. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film135623.html";"Animación";"Fantástico";"Aventuras";"Comedia";"Infancia";"Familia";"Cine familiar";"Pixar";"3-D";"";"";"";""
