"genero","posicion","nombre","id_pelicula"
"AC","1","El maquinista de La General  (1926)   ","https://www.filmaffinity.com/es/film228751.html"
"AC","2","El señor de los anillos: El retorno del rey  (2003)   ","https://www.filmaffinity.com/es/film226427.html"
"AC","3","Reservoir Dogs  (1992)   ","https://www.filmaffinity.com/es/film137887.html"
"AC","4","El caballero oscuro  (2008)   ","https://www.filmaffinity.com/es/film867354.html"
"AC","5","Blade Runner  (1982)   ","https://www.filmaffinity.com/es/film358476.html"
"AC","6","Yojimbo (El mercenario)  (1961)   ","https://www.filmaffinity.com/es/film228616.html"
"AC","7","El señor de los anillos: La comunidad del anillo  (2001)   ","https://www.filmaffinity.com/es/film750283.html"
"AC","8","Origen  (2010)   ","https://www.filmaffinity.com/es/film971380.html"
"AC","9","El señor de los anillos: Las dos torres  (2002)   ","https://www.filmaffinity.com/es/film944222.html"
"AC","10","Espartaco  (1960)   ","https://www.filmaffinity.com/es/film336548.html"
"AC","11","Matrix  (1999)   ","https://www.filmaffinity.com/es/film932476.html"
"AC","12","Kenshin, El Guerrero Samurái: Recuerdos  (1999)   ","https://www.filmaffinity.com/es/film762757.html"
"AC","13","Gladiator  (2000)   ","https://www.filmaffinity.com/es/film392075.html"
"AC","14","Infiltrados  (2006)   ","https://www.filmaffinity.com/es/film518309.html"
"AC","15","En busca del arca perdida  (1981)   ","https://www.filmaffinity.com/es/film727297.html"
"AC","16","Indiana Jones y la última cruzada  (1989)   ","https://www.filmaffinity.com/es/film883980.html"
"AC","17","Malditos bastardos  (2009)   ","https://www.filmaffinity.com/es/film746997.html"
"AC","18","Los intocables de Eliot Ness  (1987)   ","https://www.filmaffinity.com/es/film520318.html"
"AC","19","Sanjuro  (1962)   ","https://www.filmaffinity.com/es/film471432.html"
"AC","20","Detroit: Become Human  (2018)   ","https://www.filmaffinity.com/es/film416040.html"
"AC","21","Kill Bill. Volumen 2  (2004)   ","https://www.filmaffinity.com/es/film968175.html"
"AC","22","Evangelion 2.0 You Can (Not) Advance  (2009)   ","https://www.filmaffinity.com/es/film913779.html"
"AC","23","Spider-Man: Un nuevo universo  (2018)   ","https://www.filmaffinity.com/es/film773389.html"
"AC","24","La fortaleza escondida  (1958)   ","https://www.filmaffinity.com/es/film262804.html"
